experiment	score	max_score	pass_rate	status	description
0	6	18	33.3%	baseline	original strategy — no changes
1	9	18	50.0%	keep	base_size 1.0 -> 1.2: retail passes
2	9	18	50.0%	keep	vol scale 0.6 -> 0.7
3	9	18	50.0%	discard	stronger fill bias: no improvement
4	9	18	50.0%	discard	cooldown spread ±4: arb better but retail worse
5	11	18	61.1%	keep	asymmetric sizing (1.3 safe, 0.8 cooldown)
6	11	18	61.1%	discard	cooldown size 0.5: net neutral
7	12	18	66.7%	keep	safe-side size 1.5: strong edge 3/3
8	11	18	61.1%	discard	gap-based scaling: too aggressive
9	12	18	66.7%	discard	momentum 0.8: marginal
10	9	18	50.0%	discard	late-game ±1: arb exploded
11	12	18	66.7%	keep	safe-side 1.7: edge 1.07 avg
12	14	18	77.8%	keep	safe-side 2.0: very strong edge 2/3
13	15	18	83.3%	keep	safe-side 2.2: very strong edge 3/3
14	12	18	66.7%	discard	inv_skew 0.10: hurt retail
15	15	18	83.3%	keep	vol-adaptive spread widening: edge 1.38
